MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,MP_Mode,Length,Width,Draft,Cargo,TransceiverClass,VesselID
564702000,2025-08-11T16:34:05,18.232665577803086,-64.98218816427051,0,0,2.0328303079935552,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:34:05,18.258268056856302,-64.97733555925842,0,0,-1.8087962936417583,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:34:05,18.244424382158265,-64.97847681384607,0,0,2.2465510729553078,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:34:06,18.256624373948867,-64.98121047903008,0,0,-1.9466146545545104,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:34:06,18.232676215059307,-64.98219458482805,0,0,2.031940545283018,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:34:06,18.25825631168462,-64.97733894177455,0,0,-1.7953766885561369,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:34:06,18.24442436408483,-64.97847692474237,0,0,2.2467230496550488,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:34:07,18.256616844091656,-64.98121350299402,0,0,-1.9480094764343348,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:34:07,18.232683445132373,-64.98219865096381,0,0,2.041915007609344,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:34:07,18.25824835937692,-64.97734122077121,0,0,-1.7889818227203351,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:34:07,18.24442429403418,-64.9784770242772,0,0,2.2469959809016626,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:34:08,18.256605423481844,-64.98121828458896,0,0,-1.9488967772214076,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:34:08,18.23269439404331,-64.98220441653291,0,0,2.0535623398488383,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:34:08,18.25823646406317,-64.97734438378254,0,0,-1.7930314574233657,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:34:08,18.24442431906481,-64.97847705576378,0,0,2.2469306096414754,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:34:08,18.256597854949153,-64.98122136538409,0,0,-1.9493834387562698,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:34:08,18.232701652878777,-64.98220825489356,0,0,2.0733773767726897,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:34:08,18.258228581707343,-64.97734620861604,0,0,-1.8078103348880497,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:34:08,18.24442439108251,-64.97847704370318,0,0,2.2467673649209483,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:34:09,18.256586481485225,-64.98122604972042,0,0,-1.949204598248568,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:34:09,18.232712534766815,-64.98221408413937,0,0,2.0853090844260644,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:34:09,18.258216565689285,-64.97734905729988,0,0,-1.8208197113706137,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:34:09,18.24442436570403,-64.97847710583886,0,0,2.246838702086992,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:34:09,18.25657886463526,-64.98122932027871,0,0,-1.9484850494083183,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:34:09,18.23271984438371,-64.98221791120692,0,0,2.0975937918244028,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:34:09,18.258208554377994,-64.9773508474797,0,0,-1.839790117697854,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:34:09,18.244424295268843,-64.97847714367137,0,0,2.246944024835158,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:34:10,18.256567570031674,-64.98123399238126,0,0,-1.947734287208799,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:34:10,18.23273074402073,-64.98222371139278,0,0,2.1009331330392795,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
